New_LN_FN,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,4.0,5.7,8.366,0.0,14.066
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,4.0,5.7,8.366,0.0,14.066
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",FX,5.0,5.9,8.233,0.1,14.03
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",UE,5.0,6.3,8.366,0.0,14.666
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,19.0,6.0,8.2,0.0,14.2
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,19.0,6.0,8.2,0.0,14.2
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",VT,1.0,6.0,9.4,0.1,15.3
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,1.0,6.0,9.4,0.0,15.4
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,3.0,6.0,9.4,0.0,15.4
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,1.0,6.0,9.266,0.1,15.166
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,3.0,5.4,9.4,0.0,14.8
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,1.0,5.8,9.2,0.1,15.0
ASHIKAWA URARA,ASHIKAWA,Urara,w,JPN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,12.0,5.9,8.0,0.0,13.9
ASHIKAWA URARA,ASHIKAWA,Urara,w,JPN,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,6.0,5.9,7.833,0.0,13.73
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,45.0,5.0,7.666,0.0,12.666
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,45.0,5.0,7.666,0.0,12.666
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.0,7.666,0.0,12.666
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,62.0,4.8,7.5,0.0,12.3
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,62.0,4.8,7.5,0.0,12.3
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,4.8,7.5,0.0,12.3
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.3,7.4,0.0,12.7
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,56.0,5.3,7.4,0.0,12.7
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,56.0,5.3,7.4,0.0,12.7
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,52.0,4.6,8.933,0.0,13.533
BECHDEJU LAURA,BECHDEJU,Laura,w,ESP,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,4.6,8.933,0.0,13.533
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,7.0,6.5,7.566,0.0,14.066
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,7.0,6.5,7.566,0.0,14.066
BILES SIMONE,BILES,Simone,w,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,3.0,6.1,7.9,0.0,14.0
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,6.5,7.566,0.0,14.066
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,2.0,6.7,7.733,0.3,14.133
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,2.0,6.7,7.733,0.3,14.133
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,6.7,7.733,0.3,14.133
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,6.2,8.366,0.0,14.566
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,10.0,6.2,8.366,0.0,14.566
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,10.0,6.2,8.366,0.0,14.566
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,4.0,6.0,9.266,0.3,14.966
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,6.0,9.266,0.3,14.966
BILES SIMONE,BILES,Simone,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",VT,,5.0,8.766,0.0,13.766
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,1.0,6.0,9.266,0.3,14.966
BILES SIMONE,BILES,Simone,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,1.0,5.8,9.6,0.3,15.4
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,6.0,6.3,7.8,0.0,14.1
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,6.0,6.3,7.8,0.0,14.1
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-08-01,Olympic Games,final,"Tokyo, Japan",BB,4.0,6.2,7.666,0.0,13.86
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,6.3,7.8,0.0,14.1
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,63.0,5.3,6.966,0.0,12.266
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,63.0,5.3,6.966,0.0,12.266
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.3,6.966,0.0,12.266
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.7,7.1,0.0,12.8
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,54.0,5.7,7.1,0.0,12.8
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,54.0,5.7,7.1,0.0,12.8
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,13.0,5.4,9.133,0.0,14.533
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,5.4,9.133,0.0,14.533
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,12.0,5.4,9.133,0.0,14.533
BLACK ELSABETH,BLACK,Elsabeth,w,CAN,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,12.0,5.2,9.1,0.0,14.3
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,22.0,5.8,7.666,0.0,13.466
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,22.0,5.8,7.666,0.0,13.466
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.8,7.666,0.0,13.466
BOYER MARINE,BOYER,Marine,w,FRA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",BB,,5.4,6.666,0.0,12.066
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,44.0,5.1,7.733,0.1,12.733
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,44.0,5.1,7.733,0.1,12.733
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.1,7.733,0.1,12.733
BOYER MARINE,BOYER,Marine,w,FRA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",FX,,5.2,7.8,0.0,13.0
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,4.3,6.1,0.0,10.4
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,84.0,4.3,6.1,0.0,10.4
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,84.0,4.3,6.1,0.0,10.4
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,46.0,4.6,9.133,0.0,13.733
BOYER MARINE,BOYER,Marine,w,FRA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,4.6,9.133,0.0,13.733
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,33.0,4.9,8.133,0.0,13.033
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,33.0,4.9,8.133,0.0,13.033
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,4.9,8.133,0.0,13.033
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",BB,,4.9,6.033,0.0,10.933
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,39.0,4.6,8.166,0.0,12.766
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,39.0,4.6,8.166,0.0,12.766
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,4.6,8.166,0.0,12.766
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.3,8.066,0.0,13.366
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,36.0,5.3,8.066,0.0,13.366
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,36.0,5.3,8.066,0.0,13.366
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,45.0,5.4,8.466,0.1,13.766
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,5.4,8.466,0.1,13.766
BRASSART MAELLYSE,BRASSART,Maellyse,w,BEL,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",VT,,5.4,8.733,0.1,14.033
BUI KIM,BUI,Kim,w,GER,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",BB,13.0,4.8,7.8,0.0,12.6
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,44.0,4.8,7.866,0.0,12.666
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,44.0,4.8,7.866,0.0,12.666
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,4.8,7.866,0.0,12.666
BUI KIM,BUI,Kim,w,GER,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",FX,13.0,5.3,7.866,0.0,13.166
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,24.0,5.3,7.9,0.0,13.2
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,24.0,5.3,7.9,0.0,13.2
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.3,7.9,0.0,13.2
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.9,8.166,0.0,14.066
BUI KIM,BUI,Kim,w,GER,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",UE,11.0,5.7,8.066,0.0,13.766
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,24.0,5.9,8.166,0.0,14.066
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,24.0,5.9,8.166,0.0,14.066
BUI KIM,BUI,Kim,w,GER,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",VT,21.0,4.6,8.866,0.0,13.466
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,54.0,4.6,8.866,0.0,13.466
BUI KIM,BUI,Kim,w,GER,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,4.6,8.866,0.0,13.466
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,32.0,5.2,7.866,0.0,13.066
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.2,7.866,0.0,13.066
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",BB,,5.7,7.966,0.0,13.666
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,16.0,5.6,7.966,0.1,13.466
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.6,7.966,0.1,13.466
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",FX,,5.6,8.0,0.1,13.5
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.8,8.3,0.0,14.1
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",UB,,5.8,7.9,0.0,13.7
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,22.0,5.8,8.3,0.0,14.1
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,5.4,9.133,0.0,14.533
CALLUM MC GRACE,CALLUM,Mc Grace,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",VT,,5.4,9.0,0.1,14.3
CAREY JADE,CAREY,Jade,w,USA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",BB,23.0,5.1,6.433,0.0,11.533
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,41.0,5.4,7.466,0.0,12.866
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,41.0,5.4,7.466,0.0,12.866
CAREY JADE,CAREY,Jade,w,USA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",FX,3.0,6.3,7.766,0.1,13.966
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,3.0,6.2,7.9,0.0,14.1
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,3.0,6.2,7.9,0.3,14.1
CAREY JADE,CAREY,Jade,w,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",FX,1.0,6.3,8.066,0.0,14.36
CAREY JADE,CAREY,Jade,w,USA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",UE,15.0,5.5,8.0,0.0,13.5
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,20.0,5.8,8.333,0.0,14.133
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,20.0,5.8,8.333,0.0,14.133
CAREY JADE,CAREY,Jade,w,USA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",VT,2.0,6.0,9.2,0.0,15.2
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,2.0,6.0,9.166,0.0,15.166
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,2.0,6.0,9.166,0.0,15.166
CAREY JADE,CAREY,Jade,w,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,8.0,3.3,8.633,0.0,11.933
CAREY JADE,CAREY,Jade,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,2.0,5.8,9.366,0.0,15.166
CAREY JADE,CAREY,Jade,w,USA,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,8.0,5.8,9.1,2.0,12.9
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,79.0,4.7,6.733,0.0,11.433
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,79.0,4.7,6.733,0.0,11.433
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,85.0,3.9,6.333,0.0,10.233
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,85.0,3.9,6.333,0.0,10.2
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,78.0,4.4,7.133,0.0,11.533
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,78.0,4.4,7.133,0.0,11.533
CASTRO SIMONA,CASTRO,Simona,w,CHI,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,69.0,4.6,8.6,0.0,13.2
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,78.0,5.6,5.966,0.0,11.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,78.0,5.6,5.966,0.0,11.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.6,5.966,0.0,11.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",BB,,5.6,7.833,0.0,13.433
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,13.0,5.9,7.666,0.0,13.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,13.0,5.9,7.666,0.0,13.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.9,7.666,0.0,13.566
CHILES JORDAN,CHILES,Jordan,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",FX,,5.7,6.6,0.6,11.7
CHILES JORDAN,CHILES,Jordan,w,USA,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.7,7.166,0.0,12.866
CHILES JORDAN,CHILES,Jordan,w,USA,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",UB,,5.9,8.266,0.0,14.166
