LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ABLIAZIN,Denis,m,ROC,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,6,6.300,8.533,0,14.833
ASIL,Adem,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,7,6.200,8.400,0,14.600
ZANETTI,Arthur,m,BRA,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,8,6.500,7.633,0,14.133
SHIN,Jeahwan,m,KOR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,1,6.000,8.833,-0.1,14.733
SHIN,Jeahwan,m,KOR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,1,5.600,9.233,0,14.833
ABLIAZIN,Denis,m,ROC,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,2,5.600,9.166,0,14.766
ABLIAZIN,Denis,m,ROC,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,2,5.600,9.200,0,14.800
DAVTYAN,Artur,m,ARM,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,3,5.600,9.200,0,14.800
DAVTYAN,Artur,m,ARM,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,3,5.600,9.166,-0.1,14.666
YULO Carlos,Edriel,m,PHI,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,4,5.600,9.066,-0.1,14.566
YULO Carlos,Edriel,m,PHI,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,4,5.600,9.266,0,14.866
NAGORNYY,Nikita,m,ROC,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,5,5.600,9.233,0,14.833
NAGORNYY,Nikita,m,ROC,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,5,5.600,9.000,0,14.600
ASIL,Adem,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,6,6.000,9.266,0,15.266
ASIL,Adem,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,6,5.600,8.033,0,13.633
ONDER,Ahmet,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,7,5.200,8.633,0,13.833
ONDER,Ahmet,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,7,5.200,9.100,0,14.300
SOUZA,Caio,m,BRA,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT1,8,5.600,8.866,0,14.466
SOUZA,Caio,m,BRA,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",VT2,8,5.200,7.700,0,12.900
DOLGOPYAT,Artem,m,ISR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,1,6.600,8.600,0,15.200
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,2,6.200,8.866,0,15.066
RYU,Sunghyun,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,3,6.900,8.166,0,15.066
ZAPATA,Rayderley,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,4,6.500,8.541,0,15.041
KIM,Hansol,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,5,6.500,8.400,0,14.900
MOLDAUER,Yul,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,6,5.800,9.066,0,14.866
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,7,6.200,8.666,0,14.866
KARIMI,Milad,m,KAZ,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,8,6.400,8.366,0,14.766
WISKUS,Shane,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,9,6.000,8.733,0,14.733
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,10,6.200,8.600,-0.1,14.700
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,11,6.200,8.466,0,14.666
REGINI-MORAN,Giarnni,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,12,6.400,8.366,-0.1,14.666
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,13,6.300,8.300,0,14.600
TANIGAWA,Wataru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,14,5.900,8.566,0,14.466
MIKULAK,Samuel,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,15,6.200,8.266,0,14.466
TANG,Chia-Hung,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,16,5.400,8.933,0,14.333
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,17,6.000,8.333,0,14.333
ABLIAZIN,Denis,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,18,6.000,8.400,-0.1,14.300
GISCHARD,Benjamin,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,19,6.000,8.266,0,14.266
SOARES,Diogo,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,20,5.200,9.000,0,14.200
LEE Chih,Kai,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,21,5.700,8.500,0,14.200
BRAEGGER,Pablo,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,22,5.900,8.333,-0.1,14.133
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,23,5.800,8.266,0,14.066
ASIL,Adem,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,24,6.200,7.933,-0.1,14.033
SOUZA,Caio,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,25,5.500,8.466,0,13.966
LIN,Chaopan,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,26,6.100,7.866,0,13.966
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,27,5.600,8.333,0,13.933
YUDENKOV,Yevgen,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,28,5.700,8.300,-0.1,13.900
HALL,James,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,29,5.900,8.166,-0.2,13.866
BAUMANN,Christian,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,30,5.400,8.433,0,13.833
SHIAO,Yu-Jan,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,31,5.500,8.333,0,13.833
DAUSER,Lukas,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,32,5.600,8.166,0,13.766
EDALLI,Ludovico,m,ITA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,33,5.300,8.433,0,13.733
HERDER,Philipp,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,34,5.500,8.233,0,13.733
KARTSEV,Aleksandr,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,35,5.900,8.033,-0.2,13.733
LEE,Junho,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,36,5.800,7.933,0,13.733
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,37,5.700,8.000,0,13.700
FRASCA,Loris,m,FRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,38,5.900,7.900,-0.1,13.700
MALONE,Brody,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,39,5.500,8.266,-0.1,13.666
ABAD,Nestor,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,40,6.000,8.066,-0.4,13.666
TVOROGAL,Robert,m,LTU,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,41,5.400,8.233,0,13.633
GONZALEZ,Tomas,m,CHI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,42,5.800,7.800,0,13.600
PAKHNIUK,Petro,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,43,5.500,8.066,0,13.566
YULO Carlos,Edriel,m,PHI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,44,6.600,6.966,0,13.566
MIR,Nicolau,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,45,5.900,7.633,0,13.533
YUSOF,Eddy,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,46,5.400,8.100,0,13.500
SHATILOV,Alexander,m,ISR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,47,5.700,7.900,-0.1,13.500
PLATA,Joel,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,48,6.000,7.600,-0.1,13.500
JESSEN,David,m,CZE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,49,5.100,8.366,0,13.466
GEORGIOU,Marios,m,CYP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,50,5.500,8.066,-0.1,13.466
KOUDINOV,Mikhail,m,NZL,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,51,5.200,8.233,0,13.433
HUNG,Yuan-Hsi,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,52,4.900,8.433,-0.1,13.233
TIKHONOV,Ivan,m,AZE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,53,5.500,7.833,-0.1,13.233
MOHAMED,Omar,m,EGY,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,54,5.800,7.533,-0.1,13.233
CORRAL,Daniel,m,MEX,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,55,5.400,7.800,0,13.200
LOO Phay,Xing,m,MAS,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,56,5.500,7.600,0,13.100
BARRETTO JUNIOR,Francisco,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,57,5.000,8.000,0,13.000
DUNKEL,Nils,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,58,5.000,7.933,0,12.933
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,59,5.200,7.733,0,12.933
KOVTUN,Illia,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,60,5.700,7.166,0,12.866
EKE,Uche,m,NGR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,61,4.700,8.133,0,12.833
TOBA,Andreas,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,62,5.400,7.533,-0.1,12.833
MARIANO,Arthur,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,63,5.600,7.600,-0.4,12.800
ABDURAKHIMOV,Rasuljon,m,UZB,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,64,4.800,7.766,0,12.566
HUDDLESTON,David,m,BUL,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,65,4.200,8.233,0,12.433
DIALLO,Thierno,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,66,5.800,7.033,-0.6,12.233
RUMBUTIS,David,m,SWE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,67,5.800,6.666,-0.3,12.166
COURNOYER,Rene,m,CAN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,68,5.600,6.466,-0.3,11.766
HASHIMOTO,Daiki,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,1,6.500,8.533,0,15.033
KARIMI,Milad,m,KAZ,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,2,6.400,8.366,0,14.766
SRBIC,Tin,m,CRO,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,3,6.200,8.433,0,14.633
MALONE,Brody,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,4,6.500,8.033,0,14.533
NAGORNYY,Nikita,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,5,6.000,8.466,0,14.466
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,6,5.900,8.533,0,14.433
BULL,Tyson,m,AUS,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,7,6.300,8.133,0,14.433
DEURLOO,Bart,m,NED,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,8,6.500,7.900,0,14.400
GEORGIOU,Marios,m,CYP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,9,6.100,8.233,0,14.333
XIAO,Ruoteng,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,10,6.000,8.266,0,14.266
LIN,Chaopan,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,11,6.300,7.900,0,14.200
MARIANO,Arthur,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,12,6.300,7.833,0,14.133
ASIL,Adem,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,13,6.200,7.900,0,14.100
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,14,6.000,8.066,0,14.066
HALL,James,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,15,6.100,7.966,0,14.066
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,16,5.700,8.333,0,14.033
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,17,6.100,7.933,0,14.033
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,18,6.200,7.800,0,14.000
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,19,6.100,7.833,0,13.933
UCHIMURA,Kohei,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,20,6.600,7.266,0,13.866
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,21,5.700,8.133,0,13.833
BARRETTO JUNIOR,Francisco,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,22,6.200,7.633,0,13.833
ZONDERLAND,Epke,m,NED,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,23,6.300,7.533,0,13.833
TOBA,Andreas,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,24,6.300,7.500,0,13.800
EDALLI,Ludovico,m,ITA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,25,5.800,7.933,0,13.733
WISKUS,Shane,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,26,5.600,8.100,0,13.700
KOVTUN,Illia,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,27,6.300,7.400,0,13.700
SOUZA,Caio,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,28,5.900,7.566,0,13.466
DAUSER,Lukas,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,29,5.400,8.033,0,13.433
WHITLOCK,Max,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,30,5.000,8.400,0,13.400
PAKHNIUK,Petro,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,31,5.300,8.100,0,13.400
TANIGAWA,Wataru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,32,5.600,7.800,0,13.400
TANG,Chia-Hung,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,33,5.800,7.600,0,13.400
YUSOF,Eddy,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,34,5.400,7.966,0,13.366
LEE,Junho,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,35,5.700,7.666,0,13.366
COURNOYER,Rene,m,CAN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,36,5.600,7.666,0,13.266
SOARES,Diogo,m,BRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,37,5.000,8.233,0,13.233
MIR,Nicolau,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,37,5.000,8.233,0,13.233
LE Thanh,Tung,m,VIE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,39,4.900,8.266,0,13.166
RYU,Sunghyun,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,40,5.100,8.033,0,13.133
TIKHONOV,Ivan,m,AZE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,41,5.400,7.733,0,13.133
ABAD,Nestor,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,42,5.500,7.633,0,13.133
GISCHARD,Benjamin,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,43,4.800,8.300,0,13.100
REGINI-MORAN,Giarnni,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,44,4.900,8.200,0,13.100
CORRAL,Daniel,m,MEX,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,45,5.200,7.900,0,13.100
HERDER,Philipp,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,46,5.300,7.800,0,13.100
LEE Chih,Kai,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,46,5.300,7.800,0,13.100
ABDURAKHIMOV,Rasuljon,m,UZB,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,48,4.300,8.733,0,13.033
MOHAMED,Omar,m,EGY,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,49,5.000,8.033,0,13.033
DUNKEL,Nils,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,50,5.000,8.000,0,13.000
HUNG,Yuan-Hsi,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,50,5.000,8.000,0,13.000
HEGGEMSNES,Sofus,m,NOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,52,4.900,8.033,0,12.933
MOLDAUER,Yul,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,53,5.200,7.733,0,12.933
MIKULAK,Samuel,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,54,6.000,6.866,0,12.866
FRASCA,Loris,m,FRA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,55,4.700,8.133,0,12.833
KIM,Hansol,m,KOR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,56,4.600,8.200,0,12.800
TVOROGAL,Robert,m,LTU,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,57,6.100,6.666,0,12.766
BRAEGGER,Pablo,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,58,5.900,6.700,0,12.600
BAUMANN,Christian,m,SUI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,59,5.500,7.066,0,12.566
YUDENKOV,Yevgen,m,UKR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,60,4.700,7.833,0,12.533
RUMBUTIS,David,m,SWE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,61,5.000,7.533,0,12.533
PLATA,Joel,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,62,6.000,6.466,0,12.466
YULO Carlos,Edriel,m,PHI,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,63,5.500,6.800,0,12.300
KARTSEV,Aleksandr,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,64,5.000,7.000,0,12.000
SHIAO,Yu-Jan,m,TPE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,65,4.400,7.400,0,11.800
LOO Phay,Xing,m,MAS,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,66,5.000,6.766,0,11.766
EKE,Uche,m,NGR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,67,4.900,6.600,0,11.500
HUDDLESTON,David,m,BUL,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,68,4.500,6.966,0,11.466
KOUDINOV,Mikhail,m,NZL,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,69,5.400,5.966,0,11.366
DIALLO,Thierno,m,ESP,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,70,5.000,6.100,0,11.100
JESSEN,David,m,CZE,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,71,5.000,6.000,0,11.000
ZOU,Jingyuan,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,1,6.800,9.366,0,16.166
DAUSER,Lukas,m,GER,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,2,6.700,9.033,0,15.733
