Name,Country,Matches Participated,Average D_Score,D_Score Variance,Average E_Score,E_Score Variance,Average Penalty,Penalty Variance,Mean,Std,Apparatus_BB,Apparatus_FX,Apparatus_UE,Apparatus_VT
FERRARI VANESSA,ITA,2,5.4,0.0,8.816500000000001,0.00027224999999999136,0.0,0.0,14.2165,0.01653,0,0,0,1
FRIESS ALINE,FRA,8,4.9750000000000005,0.05687499999999997,7.43725,0.2536709375,0.0125,0.0010937500000000003,12.39975,0.484778,1,0,0,0
FRIESS ALINE,FRA,9,4.977777777777778,0.030617283950617285,7.833333333333333,0.12444444444444433,0.1111111111111111,0.01876543209876543,12.7,0.339936,0,1,0,0
FRIESS ALINE,FRA,14,5.564285714285714,0.03372448979591834,7.698499999999998,0.14340824999999996,0.0,0.0,13.262786,0.469922,0,0,1,0
FRIESS ALINE,FRA,17,5.117647058823529,0.30145328719723175,8.786,0.05903552941176473,0.06470588235294118,0.0128719723183391,13.838941,0.677972,0,0,0,1
GADIROVA JENNIFER,GBR,12,5.325,0.11354166666666671,7.673583333333333,0.16723457638888872,0.016666666666666666,0.0013888888888888892,12.981917,0.511377,1,0,0,0
GADIROVA JENNIFER,GBR,16,5.3062499999999995,0.006835937500000026,8.247750000000002,0.04077418750000006,0.025,0.0018750000000000006,13.528812,0.272444,0,1,0,0
GADIROVA JENNIFER,GBR,7,5.042857142857143,0.011020408163265308,7.935428571428572,0.050911673469387804,0.0,0.0,12.978286,0.245611,0,0,1,0
GADIROVA JENNIFER,GBR,7,4.8,0.5142857142857145,8.971285714285715,0.036527918367346875,0.3,0.4828571428571428,13.471286,1.453759,0,0,0,1
GADIROVA JESSICA,GBR,16,5.425,0.11312500000000003,7.678875,0.21607610937499994,0.0,0.0,13.103875,0.582298,1,0,0,0
GADIROVA JESSICA,GBR,20,5.77,0.04310000000000004,8.300650000000001,0.04096132750000003,0.025,0.004874999999999999,14.05065,0.301226,0,1,0,0
GADIROVA JESSICA,GBR,17,5.617647058823529,0.015570934256055395,7.871294117647058,0.12340032525951555,0.0,0.0,13.488941,0.389264,0,0,1,0
GADIROVA JESSICA,GBR,26,5.06923076923077,0.08597633136094676,9.001769230769229,0.0988999467455621,0.02307692307692308,0.00408284023668639,14.047923,0.440768,0,0,0,1
GODWIN GEORGIA,AUS,13,5.769230769230769,0.04059171597633134,7.326769230769231,0.19613048520710052,0.0,0.0,13.096,0.523936,1,0,0,0
GODWIN GEORGIA,AUS,12,5.583333333333333,0.03972222222222219,7.622,0.05191616666666662,0.125,0.016874999999999998,13.105333,0.402665,0,1,0,0
GODWIN GEORGIA,AUS,13,5.546153846153846,0.007100591715976301,7.835769230769231,0.05345910059171594,0.0,0.0,13.381923,0.277927,0,0,1,0
GODWIN GEORGIA,AUS,21,4.638095238095238,0.11664399092970516,8.812523809523809,0.06686548752834466,0.03333333333333333,0.005079365079365078,13.417286,0.486162,0,0,0,1
GUAN CHENCHEN,CHN,2,6.75,0.022500000000000107,8.033,0.0,0.0,0.0,14.7815,0.151503,1,0,0,0
HATAKEDA HITOMI,JPN,4,5.25,0.007500000000000014,7.83325,0.0033166875,0.0,0.0,13.08325,0.144197,1,0,0,0
HATAKEDA HITOMI,JPN,4,5.375000000000001,0.00187500000000002,7.82475,0.035154187499999975,0.0,0.0,13.19975,0.230798,0,1,0,0
HATAKEDA HITOMI,JPN,4,6.1,0.0,8.024750000000001,0.00020418749999999346,0.0,0.0,14.12475,0.014324,0,0,1,0
HEDUIT CAROLANN,FRA,13,5.338461538461539,0.03621301775147929,7.328000000000001,0.46451523076923096,0.02307692307692308,0.001775147928994083,12.643385,0.701155,1,0,0,0
HEDUIT CAROLANN,FRA,10,5.2299999999999995,0.00610000000000001,7.569699999999999,0.1423332100000001,0.01,0.0009000000000000001,12.7897,0.378294,0,1,0,0
HEDUIT CAROLANN,FRA,11,5.881818181818181,0.0033057851239669577,7.663090909090909,0.18394917355371912,0.0,0.0,13.544909,0.439571,0,0,1,0
HEDUIT CAROLANN,FRA,9,5.177777777777778,0.03950617283950624,8.870222222222221,0.02184172839506171,0.03333333333333334,0.0022222222222222227,14.014667,0.280719,0,0,0,1
HIRAIWA YUNA,JPN,4,5.549999999999999,0.007499999999999946,7.99125,0.010179187500000048,0.0,0.0,13.54125,0.014324,1,0,0,0
HIRAIWA YUNA,JPN,3,5.0,0.0,8.788666666666666,0.006197555555555542,0.0,0.0,13.788667,0.078731,0,0,0,1
HOLASOVA ANETA,CZE,7,4.8,0.10285714285714269,6.5807142857142855,0.51911706122449,0.042857142857142864,0.002448979591836735,11.337857,0.476085,1,0,0,0
HOLASOVA ANETA,CZE,9,4.788888888888889,0.043209876543209874,7.431222222222222,0.17496728395061723,0.044444444444444446,0.004691358024691358,12.186778,0.607812,0,1,0,0
HOLASOVA ANETA,CZE,7,4.571428571428571,0.07632653061224497,7.314,0.10170257142857146,0.0,0.0,11.885429,0.388957,0,0,1,0
HOLASOVA ANETA,CZE,13,4.061538461538462,0.05775147928994085,8.54076923076923,0.10106110059171597,0.0,0.0,12.602308,0.349257,0,0,0,1
ILIANKOVA ANASTASIIA,ROC,2,6.35,0.0025000000000000265,8.5495,0.00027225000000002063,0.0,0.0,14.898,0.068007,0,0,1,0
JESUS SANT MISSING_DATA,FRA,2,5.449999999999999,0.02249999999999997,7.9495000000000005,0.000272250000000006,0.0,0.0,13.3995,0.166503,1,0,0,0
JESUS SANT MISSING_DATA,FRA,2,5.5,0.009999999999999929,8.083,0.00028899999999998165,0.15,0.0225,13.433,0.267002,0,1,0,0
JESUS SANT MISSING_DATA,FRA,2,6.25,0.022500000000000107,8.133,0.001089000000000024,0.0,0.0,14.383,0.183003,0,0,1,0
JESUS SANT MISSING_DATA,FRA,2,5.4,0.0,9.133,0.001089000000000024,0.05,0.0025000000000000005,14.483,0.017029,0,0,0,1
JESUS SANTOS MELANIE,FRA,2,6.25,0.022500000000000107,8.0495,0.013572250000000063,0.0,0.0,14.298,0.268002,0,0,1,0
KINSELLA ALICE,GBR,18,5.583333333333332,0.062499999999999986,7.199777777777778,0.37375561728395046,0.03888888888888889,0.0057098765432098755,12.744222,0.770938,1,0,0,0
KINSELLA ALICE,GBR,22,5.404545454545453,0.04316115702479332,7.83981818181818,0.09215460330578508,0.05909090909090909,0.013326446280991732,13.185273,0.476012,0,1,0,0
KINSELLA ALICE,GBR,20,5.73,0.0521,7.750549999999999,0.3256787474999999,0.015,0.004274999999999999,13.46555,0.692516,0,0,1,0
KINSELLA ALICE,GBR,15,5.08,0.02560000000000005,8.855199999999998,0.04345096000000001,0.02,0.005599999999999997,13.9152,0.277707,0,0,0,1
KOVACS ZSOFIA,HUN,14,5.464285714285715,0.06943877551020418,7.57,0.29756914285714287,0.0,0.0,13.034286,0.620042,1,0,0,0
KOVACS ZSOFIA,HUN,9,5.411111111111111,0.08987654320987656,7.518111111111111,0.06712654320987649,0.09999999999999999,0.020000000000000004,12.829222,0.369536,0,1,0,0
KOVACS ZSOFIA,HUN,13,6.084615384615384,0.10745562130177522,7.731769230769231,0.5190071005917158,0.0,0.0,13.816385,0.954058,0,0,1,0
KOVACS ZSOFIA,HUN,16,4.824999999999999,0.17437500000000006,9.041374999999999,0.031731359375000004,0.00625,0.0005859375,13.860125,0.57372,0,0,0,1
LEE SUNISA,USA,9,6.144444444444444,0.024691358024691405,7.942444444444446,0.07818002469135808,0.0,0.0,14.086222,0.242849,1,0,0,0
LEE SUNISA,USA,5,5.619999999999999,0.001600000000000017,7.912999999999999,0.01139559999999996,0.0,0.0,13.533,0.12295,0,1,0,0
LEE SUNISA,USA,6,6.6000000000000005,0.03999999999999995,8.533333333333333,0.012222222222222136,0.0,0.0,15.133333,0.292501,0,0,1,0
LEE SUNISA,USA,6,4.8,0.3600000000000001,9.119333333333332,0.01933922222222225,0.0,0.0,13.919333,0.512387,0,0,0,1
LEE YUNSEO,KOR,10,5.220000000000001,0.059599999999999986,7.3879,0.11488108999999999,0.0,0.0,12.6079,0.511142,1,0,0,0
LEE YUNSEO,KOR,11,5.181818181818182,0.006942148760330585,7.775545454545454,0.08535570247933898,0.0,0.0,12.957364,0.256817,0,1,0,0
LEE YUNSEO,KOR,11,6.1909090909090905,0.019008264462809888,7.7754545454545445,0.18834515702479335,0.0,0.0,13.966364,0.459544,0,0,1,0
LEE YUNSEO,KOR,6,4.3999999999999995,0.03999999999999989,8.688833333333333,0.009523472222222308,0.0,0.0,13.088833,0.284003,0,0,0,1
LISTUNOVA VIKTORIIA,ROC,4,5.699999999999999,0.030000000000000054,8.28275,0.0008416875000000043,0.0,0.0,13.98275,0.202219,1,0,0,0
LISTUNOVA VIKTORIIA,ROC,5,5.54,0.030399999999999962,8.193200000000001,0.20010496000000008,0.02,0.0016,13.7132,0.659741,0,1,0,0
LISTUNOVA VIKTORIIA,ROC,4,6.4,0.0,8.3995,0.003366750000000017,0.0,0.0,14.7995,0.058032,0,0,1,0
LU YUFEI,CHN,5,5.96,0.0064000000000000124,7.9198,0.08877695999999986,0.0,0.0,13.8798,0.376991,1,0,0,0
LU YUFEI,CHN,5,5.04,0.006400000000000012,7.8194,0.006046240000000011,0.06000000000000001,0.0024000000000000002,12.7994,0.194379,0,1,0,0
LU YUFEI,CHN,6,6.116666666666667,0.008055555555555571,8.077666666666667,0.31783088888888894,0.0,0.0,14.194333,0.618222,0,0,1,0
LU YUFEI,CHN,3,4.8,0.0,8.766666666666667,0.0022222222222222855,0.0,0.0,13.566667,0.047151,0,0,0,1
MAGGIO MARTINA,ITA,13,5.238461538461538,0.07928994082840227,7.836153846153847,0.08503351479289958,0.0,0.0,13.074615,0.122746,1,0,0,0
MAGGIO MARTINA,ITA,11,5.40909090909091,0.13537190082644623,8.024,0.02723018181818185,0.03636363636363637,0.007768595041322311,13.405818,0.502476,0,1,0,0
MAGGIO MARTINA,ITA,9,5.7555555555555555,0.0246913580246914,7.440555555555556,0.34693313580246915,0.0,0.0,13.196111,0.728078,0,0,1,0
MAGGIO MARTINA,ITA,8,4.75,0.03750000000000007,9.203875,0.039032359375,0.0,0.0,13.953875,0.196649,0,0,0,1
MARTINS FILIPA,POR,8,5.0,0.007499999999999991,7.037125,1.2271886093749995,0.025,0.0018750000000000006,12.012125,1.114348,1,0,0,0
MARTINS FILIPA,POR,5,4.76,0.002399999999999983,7.9596,0.0019458399999999789,0.0,0.0,12.7196,0.061926,0,1,0,0
MARTINS FILIPA,POR,9,5.4222222222222225,0.12839506172839507,7.547888888888888,0.45897343209876545,0.03333333333333333,0.008888888888888887,12.936778,0.972799,0,0,1,0
MARTINS FILIPA,POR,4,4.3,0.02999999999999992,8.9245,0.015266749999999963,0.025,0.0018750000000000008,13.1995,0.219927,0,0,0,1
MELNIKOVA ANGELINA,ROC,5,5.459999999999999,0.002399999999999983,8.033000000000001,0.18859560000000006,0.0,0.0,13.493,0.463677,1,0,0,0
MELNIKOVA ANGELINA,ROC,6,5.783333333333334,0.004722222222222224,8.233,0.001089000000000024,0.0,0.0,14.015333,0.066467,0,1,0,0
MELNIKOVA ANGELINA,ROC,6,6.233333333333333,0.02222222222222216,8.382999999999997,0.29636299999999954,0.0,0.0,14.615333,0.695671,0,0,1,0
MELNIKOVA ANGELINA,ROC,8,5.550000000000001,0.06749999999999992,9.070375,0.024555984374999965,0.037500000000000006,0.0023437500000000003,14.595375,0.109947,0,0,0,1
MOKOSOVA BARBORA,SVK,19,4.28421052631579,0.04764542936288094,7.769157894736841,0.10354181717451519,0.0,0.0,12.053368,0.448229,1,0,0,0
MOKOSOVA BARBORA,SVK,4,4.65,0.02249999999999997,7.91625,0.014191687499999928,0.05,0.0075000000000000015,12.51625,0.320223,0,1,0,0
MOKOSOVA BARBORA,SVK,20,5.119999999999999,0.054600000000000024,7.633949999999999,0.37203474749999976,0.015,0.004275,12.73895,0.780782,0,0,1,0
MOKOSOVA BARBORA,SVK,3,3.933333333333333,0.22222222222222202,8.544,0.049108666666666655,0.03333333333333333,0.002222222222222223,12.444,0.665214,0,0,0,1
MOORS BROOKLYN,CAN,4,5.300000000000001,0.03000000000000005,7.783250000000001,0.040891687500000086,0.0,0.0,13.08325,0.375423,1,0,0,0
MOORS BROOKLYN,CAN,4,5.125,0.00187500000000002,8.41625,0.0008416875000000042,0.0,0.0,13.54125,0.014324,0,1,0,0
MOORS BROOKLYN,CAN,3,5.400000000000001,7.888609052210118e-31,8.788666666666668,0.006197555555555542,0.0,0.0,14.188667,0.078731,0,0,0,1
MORENO ALEXA,MEX,7,5.0,0.03999999999999997,6.728285714285714,0.3510382040816327,0.07142857142857142,0.002040816326530613,11.656857,0.6309,1,0,0,0
MORENO ALEXA,MEX,7,5.428571428571429,0.04204081632653063,7.354571428571428,0.3117156734693877,0.0,0.0,12.783143,0.492439,0,1,0,0
MORENO ALEXA,MEX,7,5.371428571428572,0.016326530612244886,7.106714285714285,0.1490996326530613,0.04285714285714286,0.011020408163265303,12.435286,0.389488,0,0,1,0
MORENO ALEXA,MEX,15,5.346666666666668,0.17315555555555542,8.858600000000001,0.05397730666666659,0.04,0.006400000000000002,14.165267,0.53118,0,0,0,1
MORGAN AMELIE,GBR,4,5.5,0.0,7.333,0.12000000000000022,0.0,0.0,12.833,0.346412,1,0,0,0
MORGAN AMELIE,GBR,4,5.8,0.0,8.083,0.00750000000000008,0.0,0.0,13.883,0.086608,0,0,1,0
MURAKAMI MAI,JPN,5,5.74,0.002399999999999983,7.859399999999999,0.01353423999999997,0.0,0.0,13.5994,0.164752,1,0,0,0
MURAKAMI MAI,JPN,6,5.833333333333333,0.0022222222222222456,8.171833333333334,0.004569805555555599,0.0,0.0,14.004167,0.084975,0,1,0,0
MURAKAMI MAI,JPN,5,5.56,0.04239999999999999,7.006400000000001,0.1815102400000002,0.0,0.0,12.5664,0.623268,0,0,1,0
MURAKAMI MAI,JPN,6,5.466666666666666,0.02222222222222216,8.966333333333333,0.020351888888888878,0.0,0.0,14.433,0.084048,0,0,0,1
NAYAK PRANATI,IND,6,4.433333333333333,0.045555555555555564,5.8998333333333335,0.6356778055555558,0.0,0.0,10.327667,0.749176,1,0,0,0
NAYAK PRANATI,IND,7,4.228571428571429,0.027755102040816375,6.159285714285715,0.18450277551020425,0.0,0.0,10.387857,0.466828,0,1,0,0
NAYAK PRANATI,IND,6,4.116666666666667,0.001388888888888904,5.335833333333333,0.5648031388888889,0.0,0.0,9.447,0.780148,0,0,1,0
NAYAK PRANATI,IND,27,4.511111111111112,0.1402469135802469,8.356000000000002,0.14017399999999988,0.06296296296296297,0.011220850480109738,12.804148,0.52354,0,0,0,1
NEKRASOVA MARINA,AZE,3,5.1000000000000005,0.9799999999999996,7.722,0.3026419999999999,0.0,0.0,12.822,0.439822,0,0,0,1
OLSEN SHALLON,CAN,6,5.8,0.0799999999999999,8.9385,0.01197725000000002,0.0,0.0,14.7385,0.246532,0,0,0,1
ORREGO ARIANA,PER,2,4.4,0.0,5.066,0.0,0.0,0.0,9.433,0.033015,0,0,1,0
OU YUSHAN,CHN,11,6.109090909090909,0.037190082644628045,7.857181818181818,0.08806178512396691,0.0,0.0,13.966273,0.344508,1,0,0,0
OU YUSHAN,CHN,9,5.699999999999999,0.0333333333333333,8.018222222222223,0.09053972839506166,0.0,0.0,13.718222,0.359238,0,0,1,0
OU YUSHAN,CHN,8,4.4,0.16000000000000003,8.720625,0.18630248437500008,0.0375,0.00984375,13.083125,0.245447,0,0,0,1
OU YUSHAN,CHN,8,5.5,0.09999999999999994,7.8786249999999995,0.10474623437500004,0.037500000000000006,0.004843750000000001,13.341125,0.551238,0,1,0,0
PETISCO ALBA,ESP,13,5.369230769230769,0.04213017751479291,6.833153846153845,0.2527607455621301,0.007692307692307693,0.0007100591715976331,12.194692,0.573533,1,0,0,0
PETISCO ALBA,ESP,12,5.183333333333334,0.008055555555555562,7.62475,0.03524318749999993,0.0,0.0,12.808083,0.244318,0,1,0,0
PETISCO ALBA,ESP,11,5.136363636363638,0.031404958677685946,7.467818181818182,0.5989352396694217,0.0,0.0,12.604182,0.69305,0,0,1,0
PETISCO ALBA,ESP,15,4.146666666666667,0.1038222222222222,8.866333333333333,0.022635688888888846,0.0,0.0,13.013,0.415485,0,0,0,1
POPA ROXANA,ESP,4,5.3,0.0,7.2745,0.2549167499999998,0.0,0.0,12.5745,0.504894,1,0,0,0
POPA ROXANA,ESP,4,5.25,0.007500000000000013,7.508,0.01687499999999998,0.07500000000000001,0.0018750000000000001,12.683,0.25981,0,1,0,0
POPA ROXANA,ESP,4,6.1,0.030000000000000054,7.725,0.6768749999999996,0.0,0.0,13.825,0.99593,0,0,1,0
POPA ROXANA,ESP,3,5.400000000000001,7.888609052210118e-31,9.0,0.019999999999999855,0.0,0.0,14.4,0.141425,0,0,0,1
RAZ LIHIE,ISR,15,5.180000000000001,0.025599999999999994,6.3764666666666665,0.9629374488888889,0.0,0.0,11.556467,1.002688,1,0,0,0
RAZ LIHIE,ISR,14,4.978571428571429,0.03025510204081628,7.397571428571427,0.1278481020408164,0.028571428571428574,0.002040816326530612,12.347571,0.337161,0,1,0,0
